#Most keys defined in the...\common folder;;;;;;;;;;;;;;
#buildings.txt;;;;;;;;;;;;;;
nv_fraternity_modifier;National Value - Fraternity;;;;;;;;;;;;;
nv_unity_modifier;National Value - Unity;;;;;;;;;;;;;
nv_supremacy_modifier;National Value - Supremacy;;;;;;;;;;;;;
nv_prosperity_modifier;National Value - Prosperity;;;;;;;;;;;;;
nv_productivity_modifier;National Value - Productivity;;;;;;;;;;;;;
nv_glory_modifier;National Value - Glory;;;;;;;;;;;;;
nv_dominion_modifier;National Value - Dominion;;;;;;;;;;;;;
the_open_door;The Open Door;;;;;;;;;;;;;
the_open_door_desc;The 'Open Door' immigration policy meant that racial and cultural barriers to immigration were lifted, and began a wave of immigration in the New World that was previously unprecedented.;;;;;;;;;;;;;
citizenship_tests;Citizenship Tests;;;;;;;;;;;;;
citizenship_tests_desc;Those many immigrants that make their way to our lands will prove that they know what it means to be free.;;;;;;;;;;;;;
passports;Passports;;;;;;;;;;;;;
passports_desc;The demand on our government's immigration system has been immense. We must come up with new ways to ensure that the rights of our new citizens are protected and recognized by the world.;;;;;;;;;;;;;
five_year_plan;Five Year Plan;;;;;;;;;;;;;
five_year_plan_desc;The proletariat state must guide the nation forward, using a plan that takes into account all our needs and does not rely on bourgeois greed.;;;;;;;;;;;;;
purge;Purge the Traitors;;;;;;;;;;;;;
purge_desc;The proletarian state has many enemies, ones that do not see the larger plan and how it benefits us all. We must locate them and keep them from harming our nation.;;;;;;;;;;;;;
just_civilized;Just Civilized;;;;;;;;;;;;;
desc_just_civilized;The Westernization of our country led to enormous changes in our political and social structure, this period also saw our country change from being a feudal society to having a capitalist economy and left us with a lingering Western influence.;;;;;;;;;;;;;
the_rights_of_man;The Rights of Man;;;;;;;;;;;;;
the_rights_of_man_desc;A recognition has begun among our people of the basic fundamental rights that all humanity shares. This is the first step in becoming a truly modern civilization.;;;;;;;;;;;;;
political_ideology;The New Ideology;;;;;;;;;;;;;
political_ideology_desc;New ideas have come to our nation, and with them come new doctrines and principles that will change the foundations of how our people live.;;;;;;;;;;;;;
of_state_n_government;Of State & Government;;;;;;;;;;;;;
of_state_n_government_desc;Our state is changing, evolving from a simple government of bureaucrats and despots to a true organism of the state. We march into a modern era, one where new ideas will tranform the way we live.;;;;;;;;;;;;;
dreams_of_empire;Dreams of Empire;;;;;;;;;;;;;
dreams_of_empire_desc;We dream not only of an empire to span the world, but also of a cultural empire. Our people stand as civilized beings, and it is our imperative to bestow the gift of our knowledge upon others. Let the world know of our desires, for we shall find a place of prominence within it.;;;;;;;;;;;;;
the_means_of_production;The Means of Production;;;;;;;;;;;;;
the_means_of_production_desc;We have the means at our hands to be a nation of power and significance. We must exert that power responsibly, for now we are a true citizen of the world.;;;;;;;;;;;;;
the_flaws_of_democracy;The Flaws of Democracy;;;;;;;;;;;;;
the_flaws_of_democracy_desc;The world is changing rapidly, and bringing with it dangerous new doctines that threaten democratic principle. Whether our nation stands with those who desire freedom, or seeks a different path will be ours to decide and ours alone.;;;;;;;;;;;;;
workshop_of_the_world;Workshop of the World;;;;;;;;;;;;;
workshop_of_the_world_desc;Our nation lies at the heart of the Industrial Revolution. Nowhere else is the growth of industry more prevalent and had more impact.;;;;;;;;;;;;;
secret_police;Secret Police;;;;;;;;;;;;;
secret_police_desc;Sometimes, to maintain order in our nation, the police must be given powers that trascend civil liberties.;;;;;;;;;;;;;
general_strike;General Strike;;;;;;;;;;;;;
general_strike_desc;The entire country is experiencing a worker's strike, greatly impacting our entire economy.;;;;;;;;;;;;;
address;Address the Nation;;;;;;;;;;;;;
address_desc;The nation has been addressed by our leaders. The effects of that address will no doubt be felt for years to come.;;;;;;;;;;;;;
tour;Whistlestop Tour;;;;;;;;;;;;;
tour_desc; The rulers of the nation have started to charter tour train rides over the country. It is having a positive effect upon the population of our Great Nation.;;;;;;;;;;;;;
futile;Futile;;;;;;;;;;;;;
futile_desc;We have made our gesture of defiance against the greater powers. Now we must wait, lest we push our luck too far.;;;;;;;;;;;;;
parade;Military Parade;;;;;;;;;;;;;
parade_desc;Let us display our nation's armed forces in the streets. We are a power to be reckoned with, and all the world will know it!;;;;;;;;;;;;;
conference;National Conference;;;;;;;;;;;;;
conference_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
exhibition;Exhibition;;;;;;;;;;;;;
exhibition_desc;This is a chance to show the nations of the world our great state, as such our status has risen in the eyes of many. May the nation continue to prosper under your care.;;;;;;;;;;;;;
census;National Census;;;;;;;;;;;;;
census_desc;A national census is currently being conducted.;;;;;;;;;;;;;
recruitment_drive;National Recruitment Drive;;;;;;;;;;;;;
recruitment_drive_desc;A national drive to increase our level of army recruits is underway.;;;;;;;;;;;;;
the_statue_of_liberty;La Liberté éclairant le Monde;;;;;;;;;;;;;
the_statue_of_liberty_desc;The first thing people see as they approach Nouvelle Amsterdam harbor, by boat from the Old World, is the gleaming tip of an enormous torch, symbolizing the freedom and liberty of the New. For many of the immigrants to our great nation, this will be the lasting first impression of a country forged and born in liberty, and of a new home.;;;;;;;;;;;;;
land_of_opportunity;Land of Opportunity;;;;;;;;;;;;;
land_of_opportunity_desc;We are the Land of the Free and the Home of the Brave, a bastion of democracy in the world and a haven for its poor and dispossessed.;;;;;;;;;;;;;
taiping_draft;Emergency Draft;;;;;;;;;;;;;
nationalist_agitation;Nationalist Agitation;;;;;;;;;;;;;
patriot_uprising;Patriot Uprising;;;;;;;;;;;;;
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;;
peasant_revolt;Open Revolt;;;;;;;;;;;;;
peasant_revolt_desc;There is increased agitation within the province, including riots and random violence which the local government has had difficulty putting down.;;;;;;;;;;;;;
war_torn;War Torn;;;;;;;;;;;;;
no_freedom;Attempted Freedom;;;;;;;;;;;;;
no_freedom_desc;We attempted to free ourselves from foreign rule. We must wait until there is another opportunity, as for now they are watching us closely.;;;;;;;;;;;;;
colonial_chaos;Colonial Chaos;;;;;;;;;;;;;
colonial_chaos_desc;Our colony is in chaos, and we are in danger of losing it utterly if order is not restored soon!;;;;;;;;;;;;;
loss_of_control;Loss of Control;;;;;;;;;;;;;
loss_of_control_desc;We have lost control over the colony.;;;;;;;;;;;;;
coup_risk;Coup D'etat Risk;;;;;;;;;;;;;
coup_risk_desc;There is dissension within the nation's military, one that is leading to a breakdown of order not only within the ranks but within the country itself. Some fear the army will rise up and take over the government.;;;;;;;;;;;;;
military_strife;Military Strife;;;;;;;;;;;;;
military_strife_desc;We are battling with our own army to prevent them from taking over the government. Purges are not infrequent, and the chances of soldiers defecting to join rebel causes raises with every passing day.;;;;;;;;;;;;;
great_war;Total War;Guerre Totale;Größer Krieg;;;;;;;;;;;
great_war_desc;We are in a state of total war with our enemies. We must rise up as one, or risk the destruction of our entire way of life.;;;;;;;;;;;;;
great_war2;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;
great_war2_desc;Massive shortages are causing our people's enthusiasm for war to dim.;;;;;;;;;;;;;
great_war3;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;
great_war3_desc;If we do not end the war soon, things will go very badly for us.;;;;;;;;;;;;;
punitive_effects;National Humiliation;Humiliation Nationale;Nationale Erniedrigung;;;;;;;;;;;
punitive_effects_desc;Our humiliation at the hands of the victors, and the punitive effects of reparations have taken its toll on our people.  We will be all but unable to wage war unless someone declares war on us first.;;;;;;;;;;;;;
no_more_war;No More War;Nous ne Voulons pas la Guerre;Wir Wünschen Nicht Krieg;;;;;;;;;;;
no_more_war_desc;Our people are tired of war. It will be difficult to get their enthusiasm for another anytime soon, so in the meantime our ability to wage war will be very limited. §YNOTE: This means you have very few CB's that you can begin a war with while this modifier lasts!§W;;;;;;;;;;;;;
end_the_war;End the War;La Guerre Doit Finir;Der Krieg Muss Beenden;;;;;;;;;;;
end_the_war_desc;Our enemy is defeated. The people call out for us to end the war, even if we don't get everything we intended.;;;;;;;;;;;;;
international_pariah;International Pariah;Paria International;Internationales Ausgestossen;;;;;;;;;;;
international_pariah_desc;We are a pariah in the international community for our aggressive policies.;;;;;;;;;;;;;
kalmar_union;Kalmar Union;;;;;;;;;;;;;
kalmar_union_desc;We have agreed in principle to a closer bond with the other Scandinavian nations.;;;;;;;;;;;;;
expert_diplomat;Expert Diplomat;;;;;;;;;;;;;
expert_diplomat_desc;Our leader is an expert in the art of diplomacy.;;;;;;;;;;;;;
successful_industrialist;Successful Industrialist;;;;;;;;;;;;;
successful_industrialist_desc;Our leader is a wealthy industrialist skilled in matters of business and finance.;;;;;;;;;;;;;
ivory_tower_intellectual;Ivory Tower Intellectual;;;;;;;;;;;;;
ivory_tower_intellectual_desc;Our leader hails from the ranks of the intelligentsia, possessing a superior education.;;;;;;;;;;;;;
man_of_the_people;Man of the People;;;;;;;;;;;;;
man_of_the_people_desc;Our leader is charismatic, and has a way of connecting with our country's people that few understand.;;;;;;;;;;;;;
landed_gentleman;Landed Gentleman;;;;;;;;;;;;;
landed_gentleman_desc;Our leader hails from the ranks of the landed gentry, a man of breeding who is familiar with our country's aristocracy.;;;;;;;;;;;;;
military_man;Military Man;;;;;;;;;;;;;
military_man_desc;Our leader has a significant military background, and is familiar with the needs of our armed forces.;;;;;;;;;;;;;
lord_admiral;Lord Admiral;;;;;;;;;;;;;
lord_admiral_desc;Our leader has a significant naval background, and is familiar with the needs of our country's navy.;;;;;;;;;;;;;
raving_loon;Raving Loon;;;;;;;;;;;;;
raving_loon_desc;To put it politely, we will be fortunate if our leader does not cause the country considerable harm. Many consider him a lunatic.;;;;;;;;;;;;;
luddite;Luddite;;;;;;;;;;;;;
luddite_desc;Our leader is no friend of progress and technology, favoring traditionalism over industrial development.;;;;;;;;;;;;;
great_statesman;Great Statesman;;;;;;;;;;;;;
