EVTDESC955185;The Great Powers of the world, meeting during the Congo Conference, awarded the Congo to the International Association of the Congo, controlled by the $FROMCOUNTRY_ADJ$ ruler. They now demand that all of the agreed territory be passed on to the philanthropic organization, which includes some territory we currently control. Disobeying the will of the Conference might attract the anger of the Great Powers, while abiding for their will might leave us in their good graces.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955185OPTA;We will abide to their deliberation.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955185OPTB;They will have to take it from us.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME19356;A War To End All Wars;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC19356;It has become increasingly clear that we have entered a new era of unprecedented warfare. The conflicts of our time are no longer mere local issues, but instead reach every corner of the world. Considering the ever increasing stakes and the terrifying impact of these hostilities on the nations involved, there is no longer any need for restrain.\n\n From now on a great war will allow a side that is clearly winning the ability to add even more wargoals;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA19356;Gentlemen, all I ask for is war, a war so grand as to make Hell itself tremble;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC19356_NEWS_LONG;It has become increasingly clear that we have entered a new era of unprecedented warfare. The conflicts of our time are no longer mere local issues, but instead reach every corner of the world. Considering the ever increasing stakes and the terrifying impact of these hostilities on the nations involved, there is no longer any need for restrain.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC19356_NEWS_MEDIUM;It has become increasingly clear that we have entered a new era of unprecedented warfare. The conflicts of our time are no longer mere local issues, but instead reach every corner of the world. Considering the ever increasing stakes and the terrifying impact of these hostilities on the nations involved, there is no longer any need for restrain.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC19356_NEWS_SHORT;It has become increasingly clear that we have entered a new era of unprecedented warfare.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955184;The Congo Question;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955184;During the Congo Conference, a 14-nation conference convened to submit the Congo question to international control and to finalize the colonial partitioning of the African continent. Most major powers attended the Congo Conference, and drafted an international code governing the way that European countries should behave as they acquired African territory. The conference, however, failed to recognize the International Association of the Congo's claims to the Congo and $COUNTRY_ADJ$ bids of humanitarian aid and philanthropic work fell to the pressures of economic interests and imperialism. The Great Powers of the world now scramble to, under the principle of effective occupation, acquire control over the Congo regions.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955184OPTA;We urge them to reconsider.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955183;The $COUNTRY_ADJ$ Congo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955183;$COUNTRY$ does not need a colony. Its citizens are not drawn towards overseas enterprises: they prefer to spend their energy and capital in countries which have already been explored or on less risky schemes... Still, you can assure His Majesty of my whole-hearted sympathy for the generous plan he had conceived, as long as the Congo does not make any international difficulties for us.\nThe $COUNTRY_ADJ$ Prime Minister has been quoted saying after European leaders officially recognized the $COUNTRY_ADJ$ $MONARCHTITLE$ control over the 2,600,000 km2 of the Congo Free State. In $YEAR$, thanks to the successful lobbying of businessman Henry Shelton Sanford at the $COUNTRY_ADJ$ $MONARCHTITLE$ request, the United States decided that the cessions claimed by the $COUNTRY_ADJ$ $MONARCHTITLE$ from the local leaders were lawful and recognized the International Association of the Congo's claim on the region, becoming the first country to do so. The Congo Conference officially recognized the International Congo Association and specified that it should have no connection with $COUNTRY$ or any other country, but would be under the personal control of the $COUNTRY_ADJ$ $MONARCHTITLE$.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955183OPTA;A great day for the $COUNTRY_ADJ$ people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955182;The Congo Conference;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955182;$FROMCOUNTRY$ called a conference, in the scope of the Congo Conference, on the future of the resource rich region known as the Congo. The $FROMCOUNTRY_ADJ$ ruler has set up a philanthropic organization - the  International African Society and also the International Congo Society - and they are proposing to run the Congo region through it in an effort to bring civilization to the natives, to properly chart, research and explore the region and to improve the lives of the natives. The great powers of Europe have been called to vote and decide on the future of the Congo: if they will concede to $FROMCOUNTRY$'s wishes, if they deny their request or if they wish to abstain from the decision. If we agree, we will be obliged to surrender any territories we currently posses in the region. Any country that owns territory in the Congo will also be asked to respect the decision of the Conference - by force if not peacefully.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955182OPTA;We will vote for $FROMCOUNTRY$.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955182OPTB;We have our own plans for the Congo. We will vote against it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955182OPTC;We don't wish to partake in this discussion.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME315003;The Scottish Resurgence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC315003;Ever since the independence of Scotland, more and more of our people take pride in their cultures, traditions and their roots. Every day people claim to be Scottish rather than something else and a full of revival of old traditions, cultures as well as the valorization of everyday cultural traditions are underway in our country. Not everyone is ready for this and this is causing some tensions in our country, but there are already a few centers of Scottish culture in Scotland.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA315003;Hail Scotland!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME45104;Dominican War of Independence!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC45104;Rebels in the east of Haiti have seized the Ozama fortress and defeated the Haitian garrison in Santo Domingo. The rebels have declared the Dominican Republic's sovereignty restored and with it an end to Haitian rule. All government officials have been expelled from Santo Domingo at what looks to be the beginning of a Civil War that will determine the fate of Hispaniola.;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME45105;Plebiscite on Dominican Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC45105;The $MONARCHTITLE$ called a plebiscite on a possible annexation by $FROMCOUNTRY$ as a path to secure our freedoms away from Haiti and to join the prosperous country. The majority has spoken and 99.7% of the Dominican Republic wants this fusion.\n\nAt least that's the official version, it's widely known and accepted that the plebiscite was forged by the $MONARCHTITLE$ in an attempt to get rich off the more $FROMCOUNTRY_ADJ$ jingoistic politicians by selling off the Dominican Republic. The $FROMCOUNTRY_ADJ$ government seems to be in cahoots with him and intend to carry on with the facade as long as the plebiscite backs it up.;;;;;;;;;;;;;;;;X,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT45105OPTA;Seems like everything is in order.;;;;;;;;;;;;;;;;X,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT45105OPTB;Denounce the plebiscite.;;;;;;;;;;;;;;;;X,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME17455;End of Reconstruction;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC17455;The Civil War is becoming a distant thought in the minds of most Americans and with that comes decisions as to where our country is headed. African Americans have achieved an unprecedented level of political equality in this country but with Southern whites reasserting their authority over state legislatures it looks as if our work towards racial equality will begin to stagnate and digress. Tensions between the peoples of the South will eventually reach a boiling point sooner or later if nothing is done and we need to look towards the future of this country. The United States is at a crossroads politically and culturally, so whatever path we step towards now will surely determine the kind of nation we will come to be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA1305;We should work harder to make amends with our African diaspora.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA1306;Our first priority should be unifying North and South culturally.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA1307;We should embrace the North and South's regional differences.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC3304;And while our hard pressed economy is bleeding massive sums into the pensions system, alarming concerns are at the same time being raised about the systematic exploitation of the system, with children at the age of thirteen in some cases being listed as recipients!\n\nMassive debates in parliament today as the Committee on Pensions and Living Standards today disbanded without submitting its final report. Apparently, internal conflict in the bi-partisan committee over hearing procedures has become a terminal stumbling block. The resulting confusion in parliament could be exploited to quickly rescind some of the more costly welfare reforms.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME986507;The Istanbul Massacre;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC986507;'The Greeks are in league with the enemy. They will launch an uprising in Istanbul, kill off the Caliph and will succeed in opening up the  Dardanelles.' The cry pierced the foggy morning in Istanbul. Mobs have gathered in the streets as news of the Greek ambitions in Anatolia spread. They drag Greeks to the streets and mark the doors of known Greek residences. Soon the soldiers joined in and as the day went by the killings spread. It didn't stop for many days. Many tried to flee as the massacre spread from the heart of the Ottoman Empire to the rest of the country.\nSome say they are sanctioned by the government, some say they are spontaneous. They seem to be determined to remove the Greek claims in Ottoman land, which are based on ethnic  minorities, by force.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT986507OPTA;A necessary sacrifice.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23485;The Thirty-second Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23485;"A $COUNTRY_ADJ$ physicist performed a series of experiments showing that the gamma ray hypothesis for an experiment conducted in Paris was untenable. He repeated the creation of the radiation using beryllium, used better approaches to detection, and aimed the radiation at paraffin following the Paris experiment. Paraffin is high in hydrogen content, hence offers a target dense with protons, since neutrons and protons have almost equal mass, protons scatter energetically from neutrons. He measured the range of these protons, and also measured how the new radiation impacted the atoms of various gases. He found that the new radiation consisted of not gamma rays, but uncharged particles with about the same mass as the proton: these particles were neutrons. In $YEAR$ he was nominated and won the Nobel Prize in Physics 'for the discovery of the neutron'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23483;The Thirty-first Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23483;"A $COUNTRY_ADJ$ physicist developed an equation in quantum mechanics that bears his namesake. The equation is a partial differential equation that describes how the quantum state of a physical system changes with time. It was formulated in late 1925, and published in 1926. In $YEAR$, he was nominated and won the Nobel Prize in Physics 'for the discovery of new productive forms of atomic theory'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23482;The Thirtieth Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23482;"A $COUNTRY_ADJ$ physicist published a puzzling paper. The main new idea, non-commuting matrices, is justified only by a rejection of unobservable quantities. It introduces the non-commutative multiplication of matrices by physical reasoning, based on the correspondence principle, despite the fact that he was not then familiar with the mathematical theory of matrices. In a series of experiments with other scientists, he solved problem of the quantum behavior by two different methods. First, he treated the system with the virtual oscillator method, calculating the transitions between the levels that would be produced by the external source. He then solved the same problem by treating the anharmonic potential term as a perturbation to the harmonic oscillator and using the perturbation methods that he had developed. In $YEAR$ he won the Nobel Prize in Physics 'for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23480;The Twenty-ninth Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23480;"During a voyage in 1921, a $COUNTRY_ADJ$ physicist noticed the blue color of glaciers and the Mediterranean sea. He was motivated to discover the reason for the blue color. He carried out experiments regarding the scattering of light by water and transparent blocks of ice which explained the phenomenon. In an experiment, je employed monochromatic light from a mercury arc lamp which penetrated transparent material and was allowed to fall on a spectrograph to record its spectrum. He detected lines in the spectrum and he presented his theory at a meeting of scientists in $CAPITAL$ on 16 March 1928, and won the Nobel Prize in Physics in $YEAR$ 'for his work on the scattering of light and for the discovery of the effect named after him'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23479;The Twenty-eighth Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23479;"The fundamental idea of my 1924 thesis was the following: The fact that, following the introduction of photons in light waves, one knew that light contains particles which are concentrations of energy incorporated into the wave, suggests that all particles, like the electron, must be transported by a wave into which it is incorporated... My essential idea was to extend to all particles the coexistence of waves and particles discovered in 1905 in the case of light and photons. In $YEAR$, a $COUNTRY_ADJ$ scientist theory was proven by experiments and he won the Nobel Prize in Physics 'for his discovery of the wave nature of electrons'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23478;The Twenty-seventh Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23478;"In 1901, a $COUNTRY_ADJ$ demonstrated that the current from a heated wire seemed to depend exponentially on the temperature of the wire with a mathematical form similar to the Arrhenius equation. This became known as a law that takes his namesake: 'If then the negative radiation is due to the corpuscles coming out of the metal, the saturation current s should obey the law'. In $YEAR$, he was awarded the Nobel Prize in Physics 'for his work on the thermionic phenomenon and especially for the discovery of the law named after him'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME23477;The Twenty-sixth Nobel Prize In Physics;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC23477;"A $COUNTRY_ADJ$ scientist, particularly interested in meteorology, in 1893 began to study clouds and their properties. He worked for some time at the national observatory, where he made observations of cloud formation. He then tried to reproduce this effect on a smaller scale in the laboratory in $CAPITAL$, expanding humid air within a sealed container. He later experimented with the creation of cloud trails in his chamber caused by ions and radiation. For the invention of the cloud chamber he received the Nobel Prize in $YEAR$, officially 'for his method of making the paths of electrically charged particles visible by condensation of vapor', dividing the honor with another scientist 'for his discovery of the effect named after him'.";;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
