access_to_the_rhine_desc;Relations with the ruler of Kassel have been shaky for some time, improving or deteriorating in these turbulent times. Due to conditions beyond our control, they are now forbidding our troops from marching through Kassel to annex our western provinces. This is a direct challenge to $COUNTRY$, which under conventions with the elector has the right to the use of the military roads through Hesse that are our sole means of communication with our Rhine provinces. We can't be cut off like this - immediate action is necessary to secure access to the Rhine.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr1_title;First Stage of the CNR;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr1_desc;The first stage of the Canadian National Railway, linking Winnipeg to the Atlantic Coast, has been completed. Now work must begin on the second stage, which will be considerably more difficult.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr2_title;Second Stage of the CNR;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr2_desc;The second stage of the Canadian National Railway, linking Calgary to the Atlantic Coast, has been completed. Now work must begin on the last stage, which will be the longest and most difficult yet as it requires creating a pass through the Rocky Mountains themselves.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr3_title;Finish the CNR;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr3_desc;After a massive effort expended to create a pass through the Rocky Mountains, the Canadian National Railway has been completed! A single railway now links the Pacific coast to the Atlantic. Crowds have gathered in $CAPITAL$ to celebrate the first locomotive being sent to make the complete journey!;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
cede_aden_title;Cede Aden to Yemen;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
cede_aden_desc;In order to cement our relation with Yemen we should further our decolonization efforts and cede Aden to them. It will mean the loss of a strategic important port, but it will improve our reputation in the eyes of the other powers of the world.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_writting_system_title;Adopt a Writing System;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_writting_system_desc;Our society has worked without a writing system for centuries. The foreign missionaries use these symbols to communicate with each other and to leave notes. If we were to, with their help, codify our language and teach our people, maybe we can become as powerful as the countries they come from.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
tasmania_penal_colony_title;Van Diemen's Land Penal Colony;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
tasmania_penal_colony_desc;In 1803 the island south of Australia was colonized by the British as a penal colony with the name Van Diemen's Land, and became part of the British colony of New South Wales. Male convicts served their sentences as assigned labor to free settlers or in gangs assigned to public works. Only the most difficult convicts (mostly re-offenders) were sent to the Tasman Peninsula prison known as Port Arthur. Female convicts were assigned as servants in free settler households or sent to a female factory (women's workhouse prison). There were five female factories in Van Diemen's Land. Convicts completing their sentences or earning their ticket-of-leave often promptly left Van Diemen's Land. Many settled in the new free colony of Victoria, to the dismay of the free settlers in towns such as Melbourne.\n\nWe can abolish the penal colony and convert the island to a regular colony. Changing the name to Tasmania from Van Diemen's Land should help our government to clear a little bit of the stigma that the island has.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_argentina_chaco_title;Claim the Argentinian Chaco;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_argentina_chaco_desc;The Gran Chaco has been a disputed territory since 1810. Officially, it was supposed to be part of Argentina, Bolivia and Paraguay, although a bigger land portion west of the Paraguay River has belonged to Paraguay since its independence. It's for us to make good on our claims in the area.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBD_germans_accepted_title;Restore the Baltic German Nobility;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBD_germans_accepted_desc;Baltic Germans have lived in the Baltic States for a long time and while they were once one of the dominant forces in the region, they no longer hold any power in the government or society. As the Baltic States are under our protection and control, we should reinstall the German nobility to serve us better.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
add_lithuania_baltic_states_title;Integrate Lithuania in the Baltic States;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
add_lithuania_baltic_states_desc;Although not considered part of the Baltic States proper, Lithuania is small enough to be added to the Baltic Administration. This wouldn't please the Lithuanians at all and the only way it can be done is through force, but it would make managing our Baltic Allies easier.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850_compromise_title;The $YEAR$ Compromise;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850_compromise_desc;Senators Henry Clay and Stephen A. Douglas have presented a draft proposal for a compromise on the slavery issue centered around the premise of popular sovereignty as the determinant for slavery or abolitionism in the territories. By supporting the draft proposal, we could calm tensions over the slavery issue for at least some time. The compromise is a package of five separate bills which will defuse a four-year political confrontation between slave and free states regarding the status of territories acquired during the Mexican-American War. The mains points are:\n1. Texas surrenders its claim to New Mexico, over which it had threatened war, as well as its claims north of the Missouri Compromise Line. It retains the Texas Panhandle and the federal government will took over the state's public debt.\n2. California is admitted as a free state with its current boundaries.\n3.The Wilmot Proviso will be fully rejected.\n4.The slave trade (but not slavery altogether) will be banned in Washington D.C.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquer_conakry_title;The Conakry Protectorate;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquer_conakry_desc;Since the 18th century, Portuguese, British and French traders had established small stations on the coast which was called Rivières du Sud by the French. The Portuguese had trading stations at Rio Pongo and Rio Nunez, mostly for the purchase of enslaved Africans captured inland and brought to the coast. By 1820, British suppression of the slave trade and Portuguese imperial decline saw these posts abandoned, with British and French traders moving in. The French admiral Bouët-Willaumez made a number of treaties with coastal communities in the area (usually under the threat of force), and ensured Marseilles based trade houses exclusive access to the palm oil trade by the 1840s. Used for making soap, the palm oil trade was with Diola merchants who established markets in the interior, and transported it to the coastal stations. We can formalize the colonial structure of these trade posts and routes to effectively take control of Conakry.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
senegal_gambia_border_treaty_title;The Senegal-Guinea Border Treaty;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
senegal_gambia_border_treaty_desc;A dispute arose with another country over our colonial borders in Senegal and Guinea. $COUNTRY_ADJ$ citizens poured and live in Ziguinchor province. According to the principles of Effective Occupation established in Conference of Berlin, the territory belong to us. But it has been under rule of another nation for a long time and thus the dispute arose. Our diplomats are trying to organize an exchange - Gabu for Ziguinchor, now we just need to propose this deal to our good neighbors.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
effective_occupation_western_sahara_title;The Occupation of Western Sahara;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
effective_occupation_western_sahara_desc;"While in the Berlin Conference, whereat the European powers were establishing the rules for setting up zones of influence or protection in Africa was ongoing, $COUNTRY$ declared 'a protectorate of the African coast' from Cape Blanc to Cape Bojador on $YEAR$. Under the principle of Effective Occupation established by the Berlin Conference, the need to effectively control the area to have the claim recognized was established, and that's what $COUNTRY$ is doing.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
austro_hungarian_border_treaty_title;The Austrian - Hungarian Border Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
austro_hungarian_border_treaty_desc;Our diplomats are drafting a friendship and border treaty between ourselves and our neighbors, to settle outstanding issues between the perceived territory of the two countries. The treaty would include population exchanges, border delimitation and a treaty of friendship. If we sign this deal it will also show the world our will to settle issues diplomatically and our government respect of the will of the people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_fiume_title;The Fiume Question;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_fiume_desc;Although Croatia had constitutional autonomy within Hungary, the City of Fiume was independent, governed (as a corpus separatum) directly from Budapest by an appointed governor, as Hungary's only international port. Our claims and ties to Fiume are strong and its naval base and port would play an important role in serving us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_italian_minors_title;The Italian States;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_italian_minors_desc;The unification of Italy wasn't a smooth process and the result was local autonomy in the old states that composed Italy. We need an united nation and to accomplish that we must abolish local self rule and privileges.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
canadian_lands_title;The Canadian Lands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
canadian_lands_desc;Some of the lands claimed by our Canadian dominion are still under our direct control, and transferring sovereignty to them would greatly help our relations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guantanamo_bay_lease_title;The Guantanamo Bay Lease;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guantanamo_bay_lease_desc;The Guantanamo Bay in the island of Cuba is the largest natural harbor on the south side of the island and it is surrounded by steep hills which create an enclave that is cut off from its immediate hinterland. It would make an excellent coaling station and it's natural harbor would allow for ships to stay there during the hurricane seasons while allowing us to project our power in the Caribbean. Some of our best diplomats can prepare a lease document to justify our use of such strategic territory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selling_danish_virgin_islands_title;Buy the Virgin Islands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selling_danish_virgin_islands_desc;The Virgin Islands were originally inhabited by the Arawak, Carib, and Cermic, all of whom are thought to have perished during the colonial period. The owner of the islands of St. Thomas, Saint John and Saint Croix, the Virgin Islands we are looking to buy, are poorly managing them for decades, and now they are costing them money - a lot. There are still some elements that resist selling the islands to us but - with the right conditions - we might be able to make an offer they can't deny.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brazilian_rubber_boom_title;Encourage the Amazon Rubber Boom;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brazilian_rubber_boom_desc;The rubber boom or Ciclo da borracha was an important part of the economic and social history of Brazil and Amazonian regions of neighboring countries, being related to the extraction and commercialization of rubber. Centered in the Amazon Basin, the boom resulted in a large expansion of European colonization in the area, attracting immigrant workers, generating wealth and causing cultural and social transformations. It encouraged the growth of cities such as Manaus, Porto Velho, and Belém, capitals within the respective Brazilian states of Amazonas, Rondônia and Pará.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_namibia_title;Organize Namibia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_namibia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_kazakhstan_title;Integrate Kazakhstan;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_kazakhstan_desc;With the central states in Asia under our control, the only one remaining is Kazakhstan. It's time we make it an integral part of Russia.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_tibet_title;Greater Tibet;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_tibet_desc;The Tibetan Empire once ruled a vast land that was taken away from us by the barbarians. The Tibetan people still live in these lands and the time has come for us the claim whats historically ours.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_timor_title;Reorganize Timor;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_timor_desc;Now that we have taken possession of Dili, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;x,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_timor_title;Organize Timor;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_timor_desc;To better take advantage of our colonies in Timor, we should organize and centralize the administration while modernizing the country just enough to have a modern infrastructure.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_wallachia_moldavia_title;Abolish Wallachia and Moldavia;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_wallachia_moldavia_desc;The old divisions of Wallachia and Moldavia are now all but obsolete, Romania is united and the princely titles exist no more. It's time to abolish these obsolete divisions once and for all.;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_transylvania_title;Abolish Transylvania;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
abolish_transylvania_desc;The old division of Transylvania is now all but obsolete, Romania is united and the princely titles exist no more. It's time to abolish these obsolete divisions once and for all.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
st_barths_question_title;The Saint Barthélemy Question;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
st_barths_question_desc;The island of Saint Barthélemy had belonged to France until 1784, when it was transferred to Sweden in return for trade privileges in Gothenburg. However, the island proved expensive to maintain. We can push for an agreement and a referendum on the island status and future, but there's always the chance that they might cede the island to another power to avoid conflict with us. Even if we lost the referendum, we will still be able to claim the island.;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shinbutsu_bunri_title;Adopt the Shinbutsu Bunri;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shinbutsu_bunri_desc;"The Japanese term shinbutsu bunri indicates the separation of Shinto from Buddhism, introduced after the Meiji Restoration, and therefore the separation of kami (native Shinto deities) from Buddhas (Buddhist deities), and of Buddhist temples from Shinto shrines (jinja). Until the end of the Edo period Shinto and Buddhism were intimately connected in what was called shinbutsu-shugo, to the point that the same buildings were often used as both Shinto shrines and Buddhist temples, and Shinto gods were interpreted as manifestations of Buddhas. The new government saw shinbutsu bunri as a way to reduce the immense wealth and power of the Buddhist sects. At the same time, it was supposed to give Shinto, and especially its cult of the Emperor, time to grow into an effective vehicle for nationalism. A first order issued by the Jingijimuka on $YEAR$ ordered the defrocking of shaso and betto (shrine monks performing Buddhist rites at Shinto shrines). A few days later, the Daijokan banned the application of Buddhist terminology such as gongen to Japanese kami and the veneration of Buddhist statues in shrines. Next came a ban on applying the Buddhist term Daibosatsu (Great Bodhisattva) to the syncretic kami Hachiman at the Iwashimizu Hachiman-gu and Usa Hachiman-gu shrines.In the final stage, all the defrocked betto and shaso were told to become 'shrine priests' (kannushi) and return to their shrines. Also, monks of the Nichiren sect were told not to refer to some deities as kami.";;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
